                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                 1.2302,                0.67463,                0.99502,                0.82962,                0.60421,                0.66477,                0.38737,                 1.2458,                0.62435,                0.99777,               0.006238,               0.006238,               0.006238
                    117,                 1.2284,                0.67398,                 0.9961,                  0.832,                0.60331,                0.66592,                0.38792,                 1.2454,                0.62404,                0.99755,               0.006205,               0.006205,               0.006205
                    118,                 1.2309,                0.67909,                0.99631,                0.83266,                0.60279,                0.66585,                0.38727,                 1.2451,                0.62368,                0.99747,               0.006172,               0.006172,               0.006172
                    119,                 1.2294,                0.67616,                0.99553,                0.83732,                0.60223,                0.66702,                0.38773,                 1.2453,                0.62343,                0.99752,               0.006139,               0.006139,               0.006139
                    120,                 1.2299,                0.67313,                0.99442,                0.83095,                0.60763,                0.66765,                0.38843,                 1.2449,                0.62315,                0.99745,               0.006106,               0.006106,               0.006106
                    121,                 1.2258,                0.67125,                0.99501,                0.82696,                0.60979,                0.66758,                0.38858,                 1.2448,                0.62291,                0.99737,               0.006073,               0.006073,               0.006073
                    122,                 1.2275,                0.67084,                0.99475,                0.82562,                0.61107,                0.66809,                0.38928,                 1.2445,                0.62251,                0.99728,                0.00604,                0.00604,                0.00604
                    123,                 1.2266,                0.67426,                0.99407,                0.82679,                 0.6118,                0.66856,                0.38882,                 1.2445,                0.62221,                0.99718,               0.006007,               0.006007,               0.006007
                    124,                 1.2232,                0.67105,                0.99401,                 0.8255,                0.61176,                0.66847,                0.38928,                 1.2444,                0.62195,                0.99713,               0.005974,               0.005974,               0.005974
                    125,                 1.2207,                0.66881,                0.99364,                0.82583,                0.61243,                0.66978,                0.38952,                 1.2442,                0.62178,                0.99687,               0.005941,               0.005941,               0.005941
                    126,                 1.2224,                0.66797,                0.99504,                0.83844,                0.60318,                0.66862,                 0.3895,                  1.244,                0.62184,                0.99684,               0.005908,               0.005908,               0.005908
                    127,                  1.221,                0.66675,                0.99343,                0.83598,                0.60097,                0.66285,                 0.3889,                 1.2438,                0.62138,                0.99666,               0.005875,               0.005875,               0.005875
                    128,                 1.2217,                 0.6678,                0.99246,                0.83632,                0.60078,                0.66289,                0.38893,                 1.2437,                0.62121,                0.99667,               0.005842,               0.005842,               0.005842
                    129,                  1.215,                0.66341,                0.99059,                0.82893,                0.60673,                0.66357,                0.38985,                 1.2433,                0.62112,                0.99658,               0.005809,               0.005809,               0.005809
